Date,Total Shipped Apple,Total Count of Sold Apples,Fans of Green,Fans of Red,Fans of Golden Delicious,Fans of Granny Smith
2024-04-01,784643,514131,1656,2008,488040,22427
2024-04-02,788001,518177,1640,2003,494394,20140
2024-04-03,842362,524388,1653,2021,500655,20059
2024-04-04,851289,537063,1625,2018,513254,20166
2024-04-05,884506,553759,1895,2148,529391,20325
2024-04-06,916184,597333,2009,2180,572148,20996
2024-04-07,916497,601438,2030,2260,578097,19051
2024-04-08,917197,604109,1945,2266,583499,16399
2024-04-09,937068,613622,2163,2455,592416,16588
2024-04-10,955867,633453,2130,2464,611729,17130
2024-04-11,963071,660470,2284,2483,637759,17944
2024-04-12,969818,674016,2151,2369,651156,18340
2024-04-13,975523,681492,2215,2310,657742,19225
2024-04-14,975698,686515,2234,2274,662809,19198
2024-04-15,977150,690249,2174,2280,668521,17274
2024-04-16,1002562,696638,2311,2398,674341,17588
2024-04-17,1047726,704145,2551,2477,681368,17749
2024-04-18,1068193,713620,2644,2517,690486,17973
2024-04-19,1076036,731677,2619,2524,707696,18838
2024-04-20,1103800,765472,3454,1766,739724,20528
2024-04-21,1104640,772814,2663,2585,746775,20791
2024-04-22,1104837,778229,1306,3976,754005,18942
2024-04-23,1226663,792272,3080,2729,767114,19349
2024-04-24,1259579,818681,3060,2838,792668,20115
2024-04-25,1277043,858156,3184,3034,830347,21591
2024-04-26,1319867,908465,1411,5088,877098,24868
2024-04-27,1319867,908465,1411,5088,877098,24868
2024-04-28,1314551,909516,3003,3468,876469,26576
